OPEN project  (Pn= 7)  (In= 10 (Pn= 7)  (In= 100) No Selection 5-15-2015 10-47
Item N, paticipant N
100,7,0,
variables
importance,least important,somewhat important,moderately important,important,most important,




item number,item text
1,"Reduce traffic"
2,"Increase safety (e.g. through neighbourhood watch)"
3,"Provide a diverse range of opportunities to play with (e.g. skate park"
4,"Provide safe bike lanes"
5,"Make sure that there is no competition"
6,"Prevent overlap with other similar local projects"
7,"Involve the adolescents throughout the project (from early beginning of program development to implementation)"
8,"Involve their parents throughout the project (from early beginning of program development to implementation)"
9,"develop nice key routes for active travel (safe"
10,"Organise peer groups with parents aiming to increase knowledge on healthy food"
11,"Organise peer groups with parents aiming to increase physical activity"
12,"Provide educational healthy eating sessions for parents in various settings (schools"
13,"Provide practical support/ information around cooking on a budget."
14,"Brief intervention training around healthy nutrition for professionals working with the target group"
15,"Brief intervention training around healthy physical activity for professionals working with the target group"
16,"Use ICT as an intervention to break up sedentary time"
17,"Use self-regulatory devices as an intervention to break up sedentary time."
18,"Use ICT as an intervention to reduce sedentary time"
19,"Use self-regulatory devices as an intervention to reduce sedentary time."
20,"Set up a social media campaign to promote adequate sleep"
21,"set up a social media campaign to reduce sleep deprivation"
22,"Utilise free green space for community growing projects"
23,"Promote accessibility/ awareness of locally produced fruit and vegetables."
24,"Do not focus on obesity alone"
25,"Consider what is important for adolescents"
26,"attractive materials"
27,"having fun"
28,"focus on self-confidence"
29,"focus on becoming independent"
30,"focus on acceptance  by peers"
31,"Keep the threshold for behaviour change low"
32,"Take into account the environmental determinants of behaviour"
33,"Withdraw selling licenses of fastfood outlets in the neighbourhood/ around schools"
34,"Broaden sidewalks"
35,"Work in partnership with (local"
36,"Increasing â€œhealthyâ€ vending in public places"
37,"Organise peer groups with parents aiming reduction of sedentary time"
38,"Raise the tax on computer games considerably"
39,"Involve popular role models to increase the image of physical activity"
40,"Involve popular role models to increase the image of healthy eating"
41,"Organise neighbourhood sports events without â€˜unhealthyâ€™ sponsorship"
42,"Increase gymnastic lessons in local schools"
43,"Provide School fruit"
44,"Ban unhealthy foods from school canteens"
45,"Ban vending machines from schools"
46,"Consider the heterogeneity of the ethnic background of the neighbourhood."
47,"Control eating habits outside school"
48,"Control exercise habits outside school"
49,"Low intensity of interventions"
50,"Include programs for the extended periods of out-of-school time (holidays"
51,"Improve session attendance"
52,"Stimulate parental participation"
53,"Improve the willingness of parents to lobby for a change in lifestyle of their child"
54,"Improve compliance among teachers in school-based interventions"
55,"Improve implementation in classroom curriculum- related interventions"
56,"Support of school-staff  involvement as key factors"
57,"Support family involvement as key factors for making healthy lifestyle changes."
58,"Provide daily contact with the participant population during the initial intervention period"
59,"Provide activities with role models"
60,"organize consistent positive feedback by role models for modifying their behaviours"
61,"Involve the Family to support the changes in the home environment"
62,"Improve the school built environment"
63,"Improve the curricular framework"
64,"Organize long-term commitment of school resources and innovations"
65,"Organize long-term commitment of school innovations"
66,"Integrate community involvement through to the school"
67,"Improve the accessibility of the healthy choice regarding foods in the school environment"
68,"Improve the accessibility of the healthy choice regarding physical activity in the school environment"
69,"Improve the accessibility of the healthy choice regarding sedentary behaviour in the school environment"
70,"Downgrade the availability of the unhealthy choice regarding foods in the school environment"
